Date,Gold,SP500,Euro,Oil,Silver,Quarter
2018-05-01,123.709999,261.082092,1.1993,13.61,38271,2
2018-01-11,125.440002,270.9729,1.2032,12.7,38939,1
2014-08-13,126.199997,178.085739,1.3365,36.02,43317,3
2016-12-06,111.43,212.16777,1.0719,11.29,41022,4
2013-06-10,133.940002,146.948624,1.3257,34.0,44162,2
2018-01-08,125.309998,268.813934,1.1967,12.38,39043,1
2017-05-05,117.010002,231.74968,1.0998,9.66,37757,2
2017-01-06,111.75,218.722412,1.0533,11.68,40342,1
2016-01-12,104.209999,182.5065,1.0857,9.17,33389,1
2015-04-28,116.330002,196.104706,1.0981,19.6,37527,2
2014-09-11,119.470001,183.076279,1.2926,34.689999,41270,3
2012-05-16,149.46000700000005,115.864746,1.2716,35.049999,51559,2
2012-07-13,154.139999,119.025352,1.2252,32.68,52807,3
2017-02-22,117.910004,227.453598,1.0556,11.36,42713,1
2017-12-01,121.589996,258.21048,1.1891,11.67,37582,4
